[00:00.000 --> 00:01.340]  I did, I did.
[02:01:08.960 --> 02:01:10.520]  They were finishing.
[02:01:11.400 --> 02:01:14.480]  So they're flowering right now.
[02:01:14.480 --> 02:01:16.000]  We're about to pull those.
[02:01:16.000 --> 02:01:17.160]  Okay.
[02:01:17.160 --> 02:01:18.960]  Oh, so they're the ones?
[02:01:18.960 --> 02:01:21.120]  And then all the other ones that are there
[02:01:21.120 --> 02:01:26.000]  are juveniles and they're going into flower.
[02:01:27.240 --> 02:01:29.400]  So I killed the supplemental lighting,
[02:01:29.400 --> 02:01:33.400]  but then the day is gonna get longer and longer here.
[02:01:33.400 --> 02:01:36.880]  So I gotta eventually just keep them inside to finish.
[02:01:38.000 --> 02:01:38.840]  Got you.
[02:01:39.920 --> 02:01:42.920]  As kind of an in-between harvest, but yeah.
[02:01:45.560 --> 02:01:47.320]  What was the topic?
[02:01:47.320 --> 02:01:48.440]  What are you growing?
[02:01:48.440 --> 02:01:53.440]  Oh, so I have like some hazes and haze skunk crosses
[02:01:56.240 --> 02:02:01.240]  and I'm gonna pop some cat pissy stuff in the next round.
[02:02:02.280 --> 02:02:07.280]  I have the Roberts Creek Congo just showed up.
[02:02:07.480 --> 02:02:10.760]  There's a Topanga that just showed up.
[02:02:13.120 --> 02:02:16.840]  I have cherry pie outside.
[02:02:16.840 --> 02:02:17.800]  Oh, here we go.
[02:02:19.760 --> 02:02:21.720]  Some James Loud auto flowers
[02:02:21.720 --> 02:02:24.160]  and I'm gonna pop some of Russian Land Race Bureau's
[02:02:24.160 --> 02:02:25.280]  autos as well.
[02:02:26.640 --> 02:02:29.520]  Oh my God, it's our surprise guest.
[02:02:30.560 --> 02:02:31.760]  What's up brother?
[02:02:31.760 --> 02:02:32.600]  What's up?
[02:02:34.680 --> 02:02:35.520]  What's up Sticky?
[02:02:35.520 --> 02:02:37.400]  So we were just talking about you buddy.
[02:02:37.400 --> 02:02:40.040]  We're glad that you could jump on here live with us.
[02:02:40.040 --> 02:02:41.160]  Right before you came on,
[02:02:41.160 --> 02:02:44.440]  we were joking that nothing impresses you ever.
[02:02:44.440 --> 02:02:46.680]  You're always talking shit on everything.
[02:02:46.680 --> 02:02:49.800]  And so we'd love to have you come on here with somebody
[02:02:49.800 --> 02:02:51.640]  that you love to talk about, man,
[02:02:51.640 --> 02:02:53.560]  that the community respects.
[02:02:53.560 --> 02:02:55.360]  So we appreciate you again,
[02:02:55.360 --> 02:02:57.240]  hopping on here real quick with us.
[02:02:57.240 --> 02:02:58.800]  Yeah, no problem, man.
[02:02:58.800 --> 02:03:00.560]  Yeah, it's good to see you Andrew, how's it going?
[02:03:00.560 --> 02:03:02.200]  Good dude, how are you doing?
[02:03:02.200 --> 02:03:03.040]  Not bad.
[02:03:04.240 --> 02:03:05.480]  Working?
[02:03:06.440 --> 02:03:07.640]  Yeah, he's got his homework in.
[02:03:07.640 --> 02:03:08.480]  Yeah.
[02:03:10.480 --> 02:03:11.320]  What are you working on?
[02:03:11.320 --> 02:03:12.640]  I'm building my head so,
[02:03:12.640 --> 02:03:14.960]  it catch most of the combos.
[02:03:17.000 --> 02:03:19.440]  Well, what are you growing on?
[02:03:19.440 --> 02:03:20.560]  What am I growing?
[02:03:20.560 --> 02:03:21.400]  Yeah.
[02:03:21.400 --> 02:03:22.800]  Oh, I'm at work right now.
[02:03:22.800 --> 02:03:24.000]  That's really what I'm growing.
[02:03:24.000 --> 02:03:28.440]  I've been focusing all my efforts on the career aspect
[02:03:28.440 --> 02:03:30.080]  of things, I guess you could say.
[02:03:31.400 --> 02:03:33.720]  We wanted to get your insight Sticky
[02:03:33.720 --> 02:03:35.840]  on basically Andrew's work
[02:03:35.840 --> 02:03:37.160]  and some of the Sullivan stuff
[02:03:37.160 --> 02:03:40.120]  that we've all been able to smoke on his work
[02:03:40.120 --> 02:03:41.280]  and that kind of stuff.
[02:03:42.120 --> 02:03:47.120]  Yeah, pretty much when I met this cat
[02:03:47.120 --> 02:03:49.520]  he was doing things other people weren't doing.
[02:03:51.040 --> 02:03:54.680]  And he kind of turned me onto the KNF scene
[02:03:55.720 --> 02:03:58.680]  and I was impressed by his work for sure.
[02:04:00.040 --> 02:04:01.520]  And like you say, I'm not impressed
[02:04:01.520 --> 02:04:02.600]  by too many people's stuff.
[02:04:02.600 --> 02:04:04.440]  So it was kind of cool and refreshing
[02:04:04.440 --> 02:04:07.400]  to see somebody coming up that was,
[02:04:07.400 --> 02:04:09.600]  doing things all the right ways in my eyes.
[02:04:13.200 --> 02:04:14.880]  You're gonna make me blush dude.
[02:04:14.880 --> 02:04:15.720]  Pat.
[02:04:15.720 --> 02:04:16.560]  Pat.
[02:04:16.560 --> 02:04:17.760]  Keep crying my friend.
[02:04:17.760 --> 02:04:19.360]  Thank you for those kind words.
[02:04:20.760 --> 02:04:23.560]  So because you're such a connoisseur Sticky,
[02:04:23.560 --> 02:04:25.320]  what are some of the things that stick out
[02:04:25.320 --> 02:04:28.320]  with his artwork compared to some of the others
[02:04:28.320 --> 02:04:29.360]  that are in the game?
[02:04:30.720 --> 02:04:33.400]  Definitely is gonna be the taste.
[02:04:33.960 --> 02:04:36.000]  And then from what I've heard from his research
[02:04:36.000 --> 02:04:36.840]  is the yield.
[02:04:36.840 --> 02:04:40.640]  So, I mean, I don't know if you can really beat that
[02:04:40.640 --> 02:04:42.440]  from the angle he's approaching it.
[02:04:45.120 --> 02:04:46.880]  We were kind of getting into,
[02:04:46.880 --> 02:04:49.600]  he's kind of the full circle if you will.
[02:04:49.600 --> 02:04:53.400]  Like he understands everything A to Z
[02:04:53.400 --> 02:04:54.800]  from the process standpoint.
[02:04:54.800 --> 02:04:56.400]  I feel like that really stands out
[02:04:56.400 --> 02:04:58.040]  because there's not really that many people out there
[02:04:58.040 --> 02:05:00.440]  that understand it at that level,
[02:05:00.440 --> 02:05:02.880]  each part of the system, the canvas
[02:05:03.360 --> 02:05:06.360]  that you're trying to put together to create that artwork.
[02:05:07.400 --> 02:05:10.520]  Yeah, I mean, sorry, I'm a little distracted.
[02:05:10.520 --> 02:05:11.360]  I'm at work.
[02:05:12.800 --> 02:05:15.880]  A to Z is pretty much a one-stop shop for getting it done.
[02:05:15.880 --> 02:05:18.800]  It seems, I mean, if he can become an electrician
[02:05:18.800 --> 02:05:21.920]  and a welding fabricator, then I think he's got it covered.
[02:05:23.840 --> 02:05:26.240]  I can weld, but I don't got the electrical yet.
[02:05:28.240 --> 02:05:29.440]  Working, you'll get it.
[02:05:29.600 --> 02:05:30.440]  Yeah.
[02:05:32.440 --> 02:05:33.760]  You love to cook as well, man.
[02:05:33.760 --> 02:05:34.960]  You're a man of many talents.
[02:05:34.960 --> 02:05:37.400]  I've noticed on Instagram and stuff.
[02:05:37.400 --> 02:05:38.320]  I appreciate that.
[02:05:39.320 --> 02:05:40.520]  Yeah, I do like cooking too.
[02:05:40.520 --> 02:05:42.040]  That is definitely a passion.
[02:05:43.600 --> 02:05:45.880]  I'm a man of flavor.
[02:05:45.880 --> 02:05:47.400]  I like my turfs and food
[02:05:47.400 --> 02:05:49.680]  and I like my turfs and my hash.
[02:05:53.920 --> 02:05:58.320]  So like Sticky, you work at a place that's well-respected.
[02:05:58.320 --> 02:06:00.800]  It's really the coloring I feel like where
[02:06:01.840 --> 02:06:04.080]  the brand that you're with sticks out.
[02:06:04.080 --> 02:06:07.080]  It's also what Andrew's product sticks out.
[02:06:07.080 --> 02:06:09.160]  I was trying to pull out of them a little bit more
[02:06:09.160 --> 02:06:13.040]  of the entire process that it takes to get to those
[02:06:13.040 --> 02:06:14.560]  because the yields really aren't there
[02:06:14.560 --> 02:06:18.040]  as far as what some people probably perceive.
[02:06:18.040 --> 02:06:20.520]  And that's why the cost is always there as well.
[02:06:20.520 --> 02:06:22.480]  So is there any way you can kind of break that down
[02:06:22.480 --> 02:06:27.480]  for somebody that's maybe newer to smoking the top tier,
[02:06:28.000 --> 02:06:30.240]  which is from hanging out with you buddies,
[02:06:30.240 --> 02:06:31.800]  just chilling in your bathroom.
[02:06:35.360 --> 02:06:37.720]  Yeah, the old carbon filter bathroom trick.
[02:06:39.080 --> 02:06:41.480]  The old super fire in the bathroom trick.
[02:06:43.440 --> 02:06:45.760]  Yeah, I mean, I think I've heard about,
[02:06:47.000 --> 02:06:51.480]  20% goes to about the 90 U-ish area
[02:06:52.600 --> 02:06:54.560]  of what you yield, something around there.
[02:06:54.560 --> 02:06:58.200]  So you're talking about raising a lot of cannabis
[02:06:58.200 --> 02:06:59.520]  for a little bit of tricholomes
[02:06:59.520 --> 02:07:01.960]  and then filtering out even the best of that.
[02:07:03.320 --> 02:07:04.720]  It's gonna get expensive.
[02:07:05.960 --> 02:07:10.600]  I mean, it does, but there's also a good margin on that too.
[02:07:10.600 --> 02:07:15.440]  And I think that that's what varies as well as,
[02:07:15.440 --> 02:07:18.240]  sometimes like the 90 U will hit 20%.
[02:07:18.240 --> 02:07:20.880]  And that's like, I don't know, that's good.
[02:07:20.880 --> 02:07:24.400]  But like I've seen like the 90 U hit even higher than that.
[02:07:25.360 --> 02:07:27.200]  I mean, that's when things get really crazy
[02:07:27.200 --> 02:07:30.200]  and that's when you can get into like yields that are like,
[02:07:30.200 --> 02:07:33.280]  I don't know, just extremely high and return a lot back
[02:07:33.280 --> 02:07:36.020]  and the final rosin product too.
[02:07:39.080 --> 02:07:39.920]  Yeah.
[02:07:39.920 --> 02:07:42.040]  So what are realistic yields for you guys?
[02:07:42.040 --> 02:07:43.440]  Like what are you realistic seeing?
[02:07:43.440 --> 02:07:46.400]  Cause everybody's, it's almost like fish stories.
[02:07:46.400 --> 02:07:49.920]  Everybody's killing it kind of thing.
[02:07:49.920 --> 02:07:51.320]  Well, realistically, I mean,
[02:07:51.320 --> 02:07:53.640]  it's completely depends on the genetics.
[02:07:53.640 --> 02:07:55.320]  And I mean, and of the genetics,
[02:07:55.320 --> 02:07:56.880]  it's gonna depend on the phenos
[02:07:56.880 --> 02:07:59.620]  and the phenose selection is extremely important
[02:07:59.620 --> 02:08:01.440]  because even on these like strains
[02:08:01.440 --> 02:08:04.280]  that people are gonna be claiming as the big dumpers,
[02:08:04.280 --> 02:08:06.400]  like there's gonna be phenos in there
[02:08:06.400 --> 02:08:08.760]  that don't exactly hit, you know?
[02:08:08.760 --> 02:08:10.640]  And sometimes the ones that are dumping
[02:08:10.640 --> 02:08:15.640]  these ridiculous numbers, like nine, 10%, even like,
[02:08:16.000 --> 02:08:18.880]  sometimes those ones are a little bit on the blander side,
[02:08:18.880 --> 02:08:19.840]  but sometimes not.
[02:08:19.840 --> 02:08:21.660]  And that's when you really got a golden ticket.
[02:08:21.660 --> 02:08:26.140]  But I mean, those are sometimes fewer and far between,
[02:08:26.140 --> 02:08:28.500]  but all I gotta say about that is like,
[02:08:28.500 --> 02:08:29.940]  I didn't even see those numbers
[02:08:29.940 --> 02:08:32.760]  until I started like growing like organically
[02:08:32.760 --> 02:08:36.820]  and living soil and focusing more that way.
[02:08:36.820 --> 02:08:39.160]  And like I had this cut that like,
[02:08:39.160 --> 02:08:42.480]  I was pulling like over 10% on
[02:08:42.480 --> 02:08:45.700]  and I gave it away to one of my friends
[02:08:45.700 --> 02:08:48.260]  who runs like a synthetic garden and he does good on it.
[02:08:48.260 --> 02:08:51.040]  He gets like 7% on it though, you know?
[02:08:52.000 --> 02:08:53.880]  And that's gonna vary too per round.
[02:08:53.880 --> 02:08:55.260]  You can see like, you know,
[02:08:55.260 --> 02:08:57.660]  sometimes like a percent or two change per round.
[02:08:57.660 --> 02:09:00.080]  I mean, that's gonna come down to like, you know,
[02:09:00.080 --> 02:09:01.640]  if you let it dry on the stock at all,
[02:09:01.640 --> 02:09:04.000]  which I don't, I avoid like at all costs
[02:09:04.000 --> 02:09:06.960]  because I try to keep my soil balanced
[02:09:06.960 --> 02:09:10.280]  and try to keep that moisture present through the end.
[02:09:10.280 --> 02:09:13.880]  Like I'm not somebody who dries out the pot
[02:09:13.880 --> 02:09:14.860]  at the end of the cycle.
[02:09:14.860 --> 02:09:18.160]  I think that's counterproductive to the plan
[02:09:18.160 --> 02:09:19.800]  and also to the next batch.
[02:09:22.040 --> 02:09:27.040]  But yeah, that's, I always get on these tangents
[02:09:27.720 --> 02:09:29.520]  and then I'm like, where the fuck was I going?
[02:09:29.520 --> 02:09:30.720]  I get too stoned.
[02:09:30.720 --> 02:09:31.560]  It's all good, man.
[02:09:31.560 --> 02:09:33.920]  You know, that's where we get those little gold nuggets
[02:09:33.920 --> 02:09:35.600]  and that's what Leighton and I really like
[02:09:35.600 --> 02:09:37.600]  about doing it and Peter and Daguerre,
[02:09:37.600 --> 02:09:40.600]  we like doing it this way is that it comes out naturally
[02:09:40.600 --> 02:09:43.960]  so that it's like, you know, it's almost like, you know,
[02:09:43.960 --> 02:09:45.960]  everybody on the show has a lot of knowledge to give
[02:09:45.960 --> 02:09:46.800]  and so it's kind of like
[02:09:46.800 --> 02:09:48.160]  when we get these conversations going,
[02:09:48.160 --> 02:09:50.400]  we get you in those rants, Andrew,
[02:09:50.440 --> 02:09:51.880]  we can get you really talking, man.
[02:09:51.880 --> 02:09:54.520]  And I feel like, and that's why we got sticky on here
[02:09:54.520 --> 02:09:57.560]  is there's gonna be a lot of people, in my opinion,
[02:09:57.560 --> 02:09:58.840]  are gonna be running your gear, bud.
[02:09:58.840 --> 02:09:59.680]  I'm trying to get-
[02:09:59.680 --> 02:10:02.400]  I mean, like realistically, like, I mean,
[02:10:02.400 --> 02:10:04.320]  what people are gonna see, like, you know,
[02:10:04.320 --> 02:10:08.720]  on running like my genetics is they're gonna see
[02:10:08.720 --> 02:10:11.400]  like some plants that are like, you know,
[02:10:11.400 --> 02:10:14.880]  maybe like three to 4% and maybe even some,
[02:10:14.880 --> 02:10:16.040]  a tiny bit less than that.
[02:10:16.040 --> 02:10:19.680]  But in the mix, there's gonna be some like serious bangers
[02:10:19.720 --> 02:10:23.760]  and dumpers and you're gonna have to hunt them out.
[02:10:23.760 --> 02:10:25.720]  Like, and there's gonna be, you know,
[02:10:25.720 --> 02:10:27.920]  a higher percentage of, you know,
[02:10:27.920 --> 02:10:29.560]  profitable washers and whatnot,
[02:10:29.560 --> 02:10:34.560]  but it's just nothing's guaranteed as far as that goes.
[02:10:35.320 --> 02:10:36.160]  You know?
[02:10:36.160 --> 02:10:38.880]  Were you just limbering up for your dab?
[02:10:38.880 --> 02:10:39.720]  Nice.
[02:10:39.720 --> 02:10:40.560]  Yeah.
[02:10:41.640 --> 02:10:42.480]  Yes, sir.
[02:10:42.480 --> 02:10:45.840]  You'd be amazed what he does when he's off screen back here,
[02:10:45.840 --> 02:10:49.040]  getting ready to do dabs on the show.
[02:10:49.400 --> 02:10:53.840]  Yeah, like the hash yield is, it's like so largely like,
[02:10:53.840 --> 02:10:56.840]  you know, has to do with like how the product was grown
[02:10:56.840 --> 02:11:00.600]  and how it was finished too,
[02:11:00.600 --> 02:11:03.160]  and how the material was handled in the finishing process.
